TITLE;TYPE;LENGTH;TIME_SIGNATURE;TEMPO;DEFAULT_TIME_SIGNATURE;DEFAULT_TEMPO;DEFAULT_TIME_SIGNATURE_AND_TEMPO;POSITIVE[IF(TYPE==1&&NOT(DEFAULT_TIME_SIGNATURE_AND_TEMPO))];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
064-BEETHOVEN, Ludwig von - Sonate Pathetique.mid;0;996.0000000000057; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=295680>;1;0;0;1;1;;;;;;
065-BEETHOVEN, Ludwig von - The Moonlight Sonata.mid;0;902.0000000000014; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=120960>;1;0;0;1;1;;;;;;
066-BRAHMS, Johannes - 1st Intermezzo from Op-117.mid;1;219.1302083333346; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;-;;;;;;
067-BRAHMS, Johannes - 3 Intermezzi Op-117.mid;0;882.0000000000036; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=264960>;1;0;0;1;1;;;;;;
068-BRAHMS, Johannes - HAYDN - Variations (4 tracks GM file).mid;1;941.5204164248407; <meta message time_signature numerator=2 denominator=2 clocks_per_click=48 notated_32nd_notes_per_beat=8 time=716>; <meta message set_tempo tempo=454545 time=1>;0;0;0;1;0;;;1873;;1873;
069-BRAHMS, Johannes - Intermezzo In A Major from Op-118.mid;1;266.3724576041659; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=495868 time=82252>;1;0;0;1;1;;;;;;
070-BRAHMS, Johannes - Intermezzo Op-117 No-3.mid;1;341.0806326250119; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=666667 time=30678>;1;0;0;1;1;;;;;;
071-BRAHMS, Johannes - Piano Sonata No-01.mid;1;1340.0657199479278; <meta message time_signature numerator=4 denominator=2 clocks_per_click=48 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=952381 time=240>;0;0;0;1;0;;;1852–53;;1853;
072-BRAHMS, Johannes - Piano Sonata No-02.mid;1;1250.4422727999925; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=120>; <meta message set_tempo tempo=1176471 time=120>;0;0;0;1;0;;;1852;;1852;
073-BRAHMS, Johannes - Piano Sonata No-03.mid;1;1815.4685558083722; <meta message time_signature numerator=3 denominator=2 clocks_per_click=48 notated_32nd_notes_per_beat=8 time=1920>; <meta message set_tempo tempo=1818182 time=585>;0;0;0;1;0;;;1853;;1853;
