TITLE;TYPE;LENGTH;TEMPO;DEFAULT_TEMPO[IN_THIS_CASE_512820_YAMAHA_DISKLAVIER_STANDARD];POSITIVE[TYPE==1&&NOT(DEFAULT_TEMPO)];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
Mozart 5 Klaviersonate KV570 3rd Mov.mid;0;211.15229953125214; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 5 Sonate KV545 1st Mov.mid;0;264.09161625000644; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mussorgsky Bilder einer AusPromenade - Baba-Yaga (The Great Gate of Kiev).mid;0;436.5340185937705; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mussorgsky Bilder einer AusPromenade - Ballet of the Unhatched Chickens.mid;0;101.95101984375103; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mussorgsky Bilder einer AusPromenade - Bydlo.mid;0;171.2498287499997; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mussorgsky Bilder einer AusPromenade - Die Tulieries.mid;0;89.26006031249958; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mussorgsky Bilder einer AusPromenade - Gnomus.mid;0;212.42633671874728; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mussorgsky Bilder einer AusPromenade - Il vechio Castello.mid;0;274.13033484374944; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mussorgsky Bilder einer AusPromenade - Marketplace of Limoges (Catacombes).mid;0;359.97293062500194; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mussorgsky Bilder einer AusPromenade - Samuel Goldenberg und Schmuyle.mid;0;123.84068812499984; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Ravel Gaspard de la Nuit (1908) Le Gibet.mid;0;367.2218550000044; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Ravel Gaspard de la Nuit (1908) Ondine.mid;0;358.32229125000697; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Ravel Gaspard de la Nuit (1908) Scarbo.mid;0;510.16241718752735; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Ravel Jeux d'eau (1901).mid;0;306.1228242187533; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Ravel Miroirs (1905) Noctuelles.mid;0;276.24304640625013; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Fantasie in C-Maj Op-15 D-760 1st Mov ''Wanderer'' (1822).mid;0;354.400019531265; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Fantasie in C-Maj Op-15 D-760 2nd Mov ''Wanderer'' (1822).mid;0;420.9010214062669; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Fantasie in C-Maj Op-15 D-760 3rd Mov ''Wanderer'' (1822).mid;0;261.63702468749835; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
